"Prompt: 
You will see a series of words. Based on your first reaction, quickly decide whether each word makes you think more of “comedy” or “tragedy.” Write down your choice next to each word.

Please note:

Quick reaction: Don’t overthink it—rely on your first impression.
Concise response: Simply write the word and your choice. Do not add any extra content.

These words are:
",order-0,shuffle0-test0,"Prompt: 
You will see a series of words. Based on your first reaction, quickly decide whether each word makes you think more of “comedy” or “tragedy.” Write down your choice next to each word.

Please note:

Quick reaction: Don’t overthink it—rely on your first impression.
Concise response: Simply write the word and your choice. Do not add any extra content.

These words are:
.1",order-1,shuffle1-test0
2394. trouble,2888,TRAGEDY,2394. Hi,3710,COMEDY
2395. tea,1157,COMEDY,2395. struggle,1375,TRAGEDY
2396. assistant,2926,COMEDY,2396. becomes,884,COMEDY
2397. porcelain,4397,TRAGEDY,2397. transformation,1390,COMEDY
2398. do,77,COMEDY,2398. inviting,3776,COMEDY
2399. ticket,4888,COMEDY,2399. Collaboration,4117,COMEDY
2400. introduction,1825,COMEDY,2400. novels,3022,TRAGEDY
2401. butter,1459,COMEDY,2401. unit,2216,TRAGEDY
2402. quotes,2588,COMEDY,2402. beans,1638,COMEDY
2403. thrive,3084,COMEDY,2403. Companies,2677,TRAGEDY
2404. deadlines,3504,TRAGEDY,2404. cost,412,TRAGEDY
2405. herself,595,TRAGEDY,2405. society,208,TRAGEDY
2406. substances,4181,TRAGEDY,2406. evaluating,3701,TRAGEDY
2407. support,38,COMEDY,2407. star,2271,COMEDY
2408. presented,1790,COMEDY,2408. sorry,4923,TRAGEDY
2409. approach,156,COMEDY,2409. journal,3362,TRAGEDY
2410. specify,3229,COMEDY,2410. Facebook,1246,COMEDY
2411. achieve,445,COMEDY,2411. kit,4893,COMEDY
2412. evaluation,2178,TRAGEDY,2412. want,653,TRAGEDY
2413. que,3364,COMEDY,2413. ruling,4672,TRAGEDY
2414. picture,1815,COMEDY,2414. comfort,1059,COMEDY
2415. ratio,3097,TRAGEDY,2415. comedy,3018,COMEDY
2416. rows,3181,COMEDY,2416. Heat,4680,COMEDY
2417. handling,1282,COMEDY,2417. myself,924,TRAGEDY
2418. authentication,1996,TRAGEDY,2418. improve,80,COMEDY
2419. compared,865,TRAGEDY,2419. join,1519,COMEDY
2420. States,587,COMEDY,2420. Business,1969,TRAGEDY
2421. crew,2322,COMEDY,2421. characteristics,1732,TRAGEDY
2422. cinnamon,4361,COMEDY,2422. Target,4687,COMEDY
2423. perspectives,779,COMEDY,2423. weapons,2010,TRAGEDY
2424. interpret,4379,COMEDY,2424. allowing,518,COMEDY
2425. memories,1415,TRAGEDY,2425. considered,535,TRAGEDY
2426. Martin,4428,COMEDY,2426. contributing,1806,COMEDY
2427. measured,4746,TRAGEDY,2427. demands,2402,TRAGEDY
2428. forget,1710,TRAGEDY,2428. credit,1421,COMEDY
2429. producers,3667,COMEDY,2429. labels,2472,TRAGEDY
2430. float,2428,COMEDY,2430. crafts,4646,COMEDY
2431. acids,4321,TRAGEDY,2431. disparities,3463,TRAGEDY
2432. collect,2850,COMEDY,2432. target,407,COMEDY
2433. went,934,COMEDY,2433. resource,1303,COMEDY
2434. sunlight,1662,COMEDY,2434. saw,771,COMEDY
2435. resources,73,COMEDY,2435. Nicolas,4649,COMEDY
2436. Replace,3989,COMEDY,2436. trees,929,COMEDY
2437. blood,899,TRAGEDY,2437. feeling,337,TRAGEDY
2438. Level,4917,COMEDY,2438. Master,3231,COMEDY
2439. racing,3394,COMEDY,2439. livelihoods,4569,TRAGEDY
2440. onions,3130,COMEDY,2440. learners,2870,COMEDY
2441. mental,4775,TRAGEDY,2441. turbines,3747,COMEDY
2442. reaches,2687,COMEDY,2442. curve,4426,COMEDY
2443. indicate,2863,COMEDY,2443. recognizes,4772,COMEDY
2444. performing,2131,COMEDY,2444. likelihood,3378,TRAGEDY
2445. planet,832,COMEDY,2445. Emily,2706,COMEDY
2446. ai,4634,COMEDY,2446. needed,389,TRAGEDY
2447. staying,1523,COMEDY,2447. month,1620,COMEDY
2448. mapping,4657,COMEDY,2448. responsibility,815,TRAGEDY
2449. tranquility,4004,COMEDY,2449. planting,3363,COMEDY
2450. cloth,4084,COMEDY,2450. increases,2170,COMEDY
2451. According,1065,COMEDY,2451. king,3764,COMEDY
2452. shorts,4879,COMEDY,2452. requiring,3645,TRAGEDY
2453. victims,3293,TRAGEDY,2453. Lila,4546,COMEDY
2454. remedies,4159,COMEDY,2454. adventures,2233,COMEDY
2455. inventory,2511,COMEDY,2455. computers,3681,COMEDY
2456. starting,745,COMEDY,2456. encourages,1763,COMEDY
2457. Generate,1866,COMEDY,2457. associated,449,TRAGEDY
2458. chapter,2033,COMEDY,2458. textures,2669,COMEDY
2459. motivation,1791,COMEDY,2459. realization,2810,TRAGEDY
2460. process,62,COMEDY,2460. whispering,3752,TRAGEDY
2461. concepts,1133,COMEDY,2461. fingers,1868,COMEDY
2462. milk,1232,COMEDY,2462. engagement,523,COMEDY
2463. determination,942,TRAGEDY,2463. Joe,4710,COMEDY
2464. experienced,1242,TRAGEDY,2464. consequences,526,TRAGEDY
2465. sample,2063,COMEDY,2465. law,646,TRAGEDY
2466. herbs,1955,COMEDY,2466. River,2105,TRAGEDY
2467. Tokyo,3758,COMEDY,2467. Vinci,4351,TRAGEDY
2468. prey,3737,TRAGEDY,2468. pursuit,2817,COMEDY
2469. Question,4210,COMEDY,2469. shape,732,COMEDY
2470. cyber,4779,TRAGEDY,2470. Lucy,4054,COMEDY
2471. fantasy,4111,COMEDY,2471. Calculate,3535,COMEDY
2472. decreased,4510,TRAGEDY,2472. state,289,TRAGEDY
2473. Lily,1726,COMEDY,2473. advanced,3538,TRAGEDY
2474. Christmas,2735,COMEDY,2474. procedures,1530,TRAGEDY
2475. recommended,1185,COMEDY,2475. trapped,3929,TRAGEDY
2476. literacy,3536,TRAGEDY,2476. nuts,2403,COMEDY
2477. written,850,TRAGEDY,2477. investments,2217,TRAGEDY
2478. turns,1682,COMEDY,2478. editing,1981,COMEDY
2479. readers,904,COMEDY,2479. decor,2584,COMEDY
2480. options,146,COMEDY,2480. mood,830,TRAGEDY
2481. misunderstandings,4096,COMEDY,2481. wearing,1374,COMEDY
2482. pair,1711,COMEDY,2482. brain,1150,COMEDY
2483. approaches,1090,TRAGEDY,2483. achieve,445,COMEDY
2484. exchange,1079,COMEDY,2484. influenced,751,TRAGEDY
2485. European,4614,COMEDY,2485. friends,295,COMEDY
2486. attacks,1306,TRAGEDY,2486. follow,447,COMEDY
2487. exploring,704,COMEDY,2487. profitability,4276,TRAGEDY
2488. shape,732,COMEDY,2488. personnel,2921,TRAGEDY
2489. temple,4303,TRAGEDY,2489. descriptions,1738,COMEDY
2490. comparison,2535,TRAGEDY,2490. checks,2203,COMEDY
2491. battles,2795,TRAGEDY,2491. hold,700,COMEDY
2492. Line,4613,COMEDY,2492. enforcement,2011,TRAGEDY
2493. conducted,1434,TRAGEDY,2493. demand,766,TRAGEDY
2494. Introduction,1430,COMEDY,2494. studio,3899,COMEDY
2495. hydrogen,4499,COMEDY,2495. diabetes,3484,TRAGEDY
2496. Listen,3871,COMEDY,2496. panel,3125,COMEDY
2497. minimum,4472,COMEDY,2497. Strategy,4935,COMEDY
2498. label,2207,COMEDY,2498. cooling,4002,COMEDY
2499. forces,1256,TRAGEDY,2499. adjusted,4984,COMEDY
2500. charm,2878,COMEDY,2500. boots,3751,COMEDY
2501. overwhelmed,3600,TRAGEDY,2501. band,1688,COMEDY
2502. broke,4479,TRAGEDY,2502. accessibility,1861,COMEDY
2503. Bill,4873,COMEDY,2503. male,2917,COMEDY
2504. Lee,3693,COMEDY,2504. getting,468,COMEDY
2505. religions,3589,TRAGEDY,2505. Amazon,1493,COMEDY
2506. appearance,1025,COMEDY,2506. minutes,398,COMEDY
2507. operators,4055,COMEDY,2507. globalization,3317,TRAGEDY
2508. installing,4603,COMEDY,2508. tailored,2136,COMEDY
2509. IoT,4254,COMEDY,2509. combinations,3841,COMEDY
2510. walks,2420,COMEDY,2510. operation,1774,TRAGEDY
2511. demonstrates,3421,COMEDY,2511. promotes,1705,COMEDY
2512. lack,709,TRAGEDY,2512. empire,3032,TRAGEDY
2513. market,196,COMEDY,2513. vehicle,1942,COMEDY
2514. worn,4686,TRAGEDY,2514. teacher,1983,COMEDY
2515. engines,2450,TRAGEDY,2515. allows,283,COMEDY
2516. link,1478,COMEDY,2516. correlation,4885,COMEDY
2517. aligns,2273,COMEDY,2517. objectives,1365,COMEDY
2518. sipping,4279,COMEDY,2518. survive,2291,TRAGEDY
2519. searching,2006,TRAGEDY,2519. part,141,COMEDY
2520. distributed,4049,COMEDY,2520. hearts,2481,TRAGEDY
2521. entrepreneurship,4586,COMEDY,2521. possesses,4618,TRAGEDY
2522. losing,2671,TRAGEDY,2522. industries,604,COMEDY
2523. defined,2123,COMEDY,2523. offset,4903,COMEDY
2524. avocado,4104,COMEDY,2524. scope,2775,COMEDY
2525. stroke,4239,TRAGEDY,2525. complement,3276,COMEDY
2526. elements,282,COMEDY,2526. wondering,2981,COMEDY
2527. removal,4983,TRAGEDY,2527. childhood,2335,COMEDY
2528. institution,3719,COMEDY,2528. ensure,45,COMEDY
2529. instructions,719,COMEDY,2529. meanings,4861,TRAGEDY
2530. system,60,TRAGEDY,2530. connect,679,COMEDY
2531. pesticides,3601,TRAGEDY,2531. generates,3567,COMEDY
2532. creating,111,COMEDY,2532. acting,2705,COMEDY
2533. Part,3634,COMEDY,2533. hospitals,4865,TRAGEDY
2534. possesses,4618,COMEDY,2534. house,854,COMEDY
2535. Space,3755,COMEDY,2535. crafted,4191,COMEDY
2536. tables,2172,COMEDY,2536. accounts,1609,COMEDY
2537. Monitoring,4921,COMEDY,2537. ease,1735,COMEDY
2538. audiences,1418,COMEDY,2538. text,212,COMEDY
2539. struggles,1158,TRAGEDY,2539. detect,1992,TRAGEDY
2540. it,4,COMEDY,2540. engaging,476,COMEDY
2541. despair,4220,TRAGEDY,2541. Excel,4318,COMEDY
2542. phone,740,COMEDY,2542. referring,3825,COMEDY
2543. sourced,4031,COMEDY,2543. rooms,2942,COMEDY
2544. manner,1208,COMEDY,2544. region,419,TRAGEDY
2545. calculate,1912,COMEDY,2545. excited,1871,COMEDY
2546. Natural,4871,COMEDY,2546. oneself,3990,TRAGEDY
2547. distractions,2862,COMEDY,2547. charge,2247,TRAGEDY
2548. states,980,TRAGEDY,2548. advantages,1846,COMEDY
2549. us,100,COMEDY,2549. protests,3360,TRAGEDY
2550. hunger,4875,TRAGEDY,2550. guard,3702,TRAGEDY
2551. checking,1939,COMEDY,2551. La,3209,COMEDY
2552. England,3059,TRAGEDY,2552. accomplishments,3971,TRAGEDY
2553. inclusivity,2311,COMEDY,2553. screen,1178,COMEDY
2554. electricity,1556,COMEDY,2554. round,2206,COMEDY
2555. rest,747,COMEDY,2555. qualifications,3867,TRAGEDY
2556. program,114,COMEDY,2556. First,2500,COMEDY
2557. aroma,4537,COMEDY,2557. availability,1271,COMEDY
2558. opening,1882,COMEDY,2558. published,1667,COMEDY
2559. hands,594,TRAGEDY,2559. Dick,4441,COMEDY
2560. writing,268,TRAGEDY,2560. offers,164,COMEDY
2561. provider,1583,COMEDY,2561. graph,3564,TRAGEDY
2562. brought,970,TRAGEDY,2562. edges,3086,TRAGEDY
2563. P,2309,COMEDY,2563. be,5,COMEDY
2564. emergence,3911,TRAGEDY,2564. stir,3873,COMEDY
2565. clock,4022,TRAGEDY,2565. Reducing,4820,TRAGEDY
2566. government,162,TRAGEDY,2566. interviews,2566,COMEDY
2567. incorporated,2622,COMEDY,2567. resistance,1147,TRAGEDY
2568. spend,2238,COMEDY,2568. iron,3182,TRAGEDY
2569. implementing,598,COMEDY,2569. Hello,2352,COMEDY
2570. progress,348,COMEDY,2570. aroma,4537,COMEDY
2571. Brazil,3488,COMEDY,2571. something,126,COMEDY
2572. correlation,4885,TRAGEDY,2572. metrics,1494,TRAGEDY
2573. warning,2918,TRAGEDY,2573. let,128,COMEDY
2574. capturing,1165,TRAGEDY,2574. revenue,1072,TRAGEDY
2575. measurements,4222,COMEDY,2575. angle,2980,COMEDY
2576. Food,2474,COMEDY,2576. regulate,3096,TRAGEDY
2577. started,473,COMEDY,2577. concept,630,COMEDY
2578. conservation,579,COMEDY,2578. lost,753,TRAGEDY
2579. courses,1100,COMEDY,2579. opposition,3367,TRAGEDY
2580. fears,2613,TRAGEDY,2580. show,292,COMEDY
2581. desired,3061,TRAGEDY,2581. bone,4285,COMEDY
2582. text,212,COMEDY,2582. discovered,1401,COMEDY
2583. credit,1421,COMEDY,2583. generator,3319,COMEDY
2584. returns,1352,COMEDY,2584. contributes,2609,COMEDY
2585. E,2857,COMEDY,2585. destinations,3092,COMEDY
2586. campus,3366,COMEDY,2586. experts,1330,COMEDY
2587. displacement,3335,TRAGEDY,2587. firms,3882,TRAGEDY
2588. theories,3143,COMEDY,2588. ghost,4260,COMEDY
2589. actor,4484,COMEDY,2589. calming,3808,COMEDY
2590. acceptance,2121,COMEDY,2590. provide,18,COMEDY
2591. tasks,440,COMEDY,2591. Christianity,4521,TRAGEDY
2592. address,179,COMEDY,2592. duties,4206,TRAGEDY
2593. Illustration,4652,COMEDY,2593. movement,470,TRAGEDY
2594. bowl,1510,COMEDY,2594. grant,4944,COMEDY
2595. Encourage,1633,COMEDY,2595. help,10,COMEDY
2596. embracing,2466,COMEDY,2596. things,236,COMEDY
2597. finished,3021,TRAGEDY,2597. scientist,4551,COMEDY
2598. investors,2115,TRAGEDY,2598. group,183,COMEDY
2599. S,2134,COMEDY,2599. senses,3269,COMEDY
2600. had,16,TRAGEDY,2600. preferences,390,COMEDY
2601. secrets,2254,TRAGEDY,2601. ended,3164,TRAGEDY
2602. films,1730,COMEDY,2602. Press,4250,TRAGEDY
2603. infrastructure,527,TRAGEDY,2603. coconut,3002,COMEDY
2604. smell,2731,COMEDY,2604. won,1328,COMEDY
2605. confirm,3528,COMEDY,2605. DAN,2585,COMEDY
2606. Code,2215,COMEDY,2606. foot,2048,COMEDY
2607. Maria,2150,TRAGEDY,2607. egg,2905,COMEDY
2608. Japan,1304,TRAGEDY,2608. Output,3076,COMEDY
2609. Alex,841,COMEDY,2609. sure,1159,COMEDY
2610. breach,4947,TRAGEDY,2610. surface,860,COMEDY
2611. ChatGPT,2003,COMEDY,2611. cloth,4084,COMEDY
2612. cool,2396,COMEDY,2612. calculated,4440,TRAGEDY
2613. tapestry,4128,TRAGEDY,2613. patient,1275,TRAGEDY
2614. Content,3352,COMEDY,2614. meet,564,COMEDY
2615. registration,4342,TRAGEDY,2615. diversity,408,COMEDY
2616. remain,1672,TRAGEDY,2616. reads,4688,COMEDY
2617. partner,1042,COMEDY,2617. shell,4562,TRAGEDY
2618. garden,1245,COMEDY,2618. amount,411,TRAGEDY
2619. confront,3697,TRAGEDY,2619. politicians,3974,COMEDY
2620. cameras,3561,COMEDY,2620. listed,3654,COMEDY
2621. loneliness,4960,TRAGEDY,2621. Section,4824,TRAGEDY
2622. expanded,3699,COMEDY,2622. effort,688,TRAGEDY
2623. seats,4862,COMEDY,2623. surgery,3670,TRAGEDY
2624. books,788,COMEDY,2624. tokens,3217,COMEDY
2625. challenge,479,TRAGEDY,2625. tips,97,COMEDY
2626. used,26,TRAGEDY,2626. parties,1230,COMEDY
2627. control,161,TRAGEDY,2627. fur,2874,COMEDY
2628. baby,954,COMEDY,2628. align,2214,TRAGEDY
2629. signature,3265,COMEDY,2629. Ruby,4336,COMEDY
2630. areas,134,NEUTRAL,2630. clothing,811,COMEDY
2631. segment,3585,NEUTRAL,2631. treating,2607,TRAGEDY
2632. film,551,COMEDY,2632. import,417,TRAGEDY
2633. March,2763,NEUTRAL,2633. H,3948,COMEDY
2634. description,394,NEUTRAL,2634. Jake,3016,COMEDY
2635. knowing,1433,COMEDY,2635. determining,3705,TRAGEDY
2636. adopt,2047,COMEDY,2636. focusing,1099,TRAGEDY
2637. weights,4123,TRAGEDY,2637. United,428,TRAGEDY
2638. Greek,4024,TRAGEDY,2638. minds,3298,TRAGEDY
2639. front,1215,NEUTRAL,2639. recipe,863,COMEDY
2640. Nations,3445,NEUTRAL,2640. ad,2104,COMEDY
2641. determined,1358,COMEDY,2641. warmth,2056,COMEDY
2642. script,615,COMEDY,2642. supported,1991,COMEDY
2643. Moon,4088,COMEDY,2643. takes,349,COMEDY
2644. workplace,1080,COMEDY,2644. choices,1034,TRAGEDY
2645. thought,525,TRAGEDY,2645. securing,4945,COMEDY
2646. indicating,2579,TRAGEDY,2646. warning,2918,TRAGEDY
2647. shifts,3369,COMEDY,2647. milestones,4798,COMEDY
2648. prepare,1386,COMEDY,2648. Safety,3263,COMEDY
2649. Center,1767,TRAGEDY,2649. challenged,3731,TRAGEDY
2650. Materials,4869,TRAGEDY,2650. herbs,1955,COMEDY
2651. Forest,3877,TRAGEDY,2651. Big,3212,COMEDY
2652. pricing,1483,COMEDY,2652. alternatives,2261,COMEDY
2653. mitigate,1029,TRAGEDY,2653. institution,3719,TRAGEDY
2654. include,189,COMEDY,2654. page,624,COMEDY
2655. perspective,756,TRAGEDY,2655. camping,3100,COMEDY
2656. clothing,811,COMEDY,2656. string,531,COMEDY
2657. floor,1537,COMEDY,2657. Academy,3353,COMEDY
2658. remove,1030,TRAGEDY,2658. candidates,2422,COMEDY
2659. intervention,2266,TRAGEDY,2659. showing,1536,COMEDY
2660. site,967,COMEDY,2660. Character,4131,COMEDY
2661. norms,1455,COMEDY,2661. grown,2354,TRAGEDY
2662. time,15,TRAGEDY,2662. accommodation,5000,COMEDY
2663. chest,1876,TRAGEDY,2663. memories,1415,TRAGEDY
2664. rate,572,COMEDY,2664. circumstances,1632,TRAGEDY
2665. significance,876,TRAGEDY,2665. attendees,3526,COMEDY
2666. buttons,4021,COMEDY,2666. Tokyo,3758,COMEDY
2667. matter,513,TRAGEDY,2667. directory,2235,COMEDY
2668. choosing,1474,COMEDY,2668. attitudes,2140,COMEDY
2669. opens,3165,COMEDY,2669. register,4317,COMEDY
2670. breaks,1314,TRAGEDY,2670. bit,767,COMEDY
2671. resolution,1391,COMEDY,2671. IP,3522,COMEDY
2672. fits,3099,COMEDY,2672. hike,3314,COMEDY
2673. diverse,2164,COMEDY,2673. universe,1064,COMEDY
2674. language,41,COMEDY,2674. buying,2408,COMEDY
2675. detection,2304,TRAGEDY,2675. Making,4392,COMEDY
2676. c,1525,COMEDY,2676. boat,4233,COMEDY
2677. Network,2727,COMEDY,2677. cat,2932,COMEDY
2678. Maya,3664,TRAGEDY,2678. coach,3242,COMEDY
2679. give,120,COMEDY,2679. afraid,3407,TRAGEDY
2680. ran,3992,COMEDY,2680. gone,2126,TRAGEDY
2681. input,311,COMEDY,2681. includes,278,COMEDY
2682. reflect,1423,TRAGEDY,2682. inclusion,1284,COMEDY
2683. prioritizing,2901,COMEDY,2683. skull,3134,TRAGEDY
2684. English,1340,COMEDY,2684. enhance,454,COMEDY
2685. message,284,TRAGEDY,2685. extend,4144,COMEDY
2686. impression,4188,COMEDY,2686. broke,4479,TRAGEDY
2687. villains,4811,TRAGEDY,2687. policymakers,2320,TRAGEDY
2688. yourself,270,COMEDY,2688. balls,3703,COMEDY
2689. PHP,4448,COMEDY,2689. network,478,COMEDY
2690. organization,382,TRAGEDY,2690. theories,3143,COMEDY
2691. icon,4274,COMEDY,2691. understand,221,COMEDY
2692. bills,3830,TRAGEDY,2692. spinach,4323,COMEDY
2693. messaging,1933,COMEDY,2693. platforms,304,COMEDY
2694. complete,1680,COMEDY,2694. yoga,1355,COMEDY
2695. perform,960,COMEDY,2695. composting,4243,COMEDY
2696. discuss,946,COMEDY,2696. null,3227,TRAGEDY
2697. thank,2421,COMEDY,2697. files,872,COMEDY
2698. traditions,853,TRAGEDY,2698. caring,4458,COMEDY
2699. describe,833,COMEDY,2699. ingredients,502,COMEDY
2700. influencers,1604,COMEDY,2700. purchases,3734,COMEDY
2701. lots,4263,COMEDY,2701. ways,99,COMEDY
2702. explores,1646,COMEDY,2702. targeted,2931,TRAGEDY
2703. Bridge,4708,TRAGEDY,2703. cloud,2498,COMEDY
2704. page,624,COMEDY,2704. company,112,COMEDY
2705. image,257,COMEDY,2705. paint,2387,COMEDY
2706. gathered,3211,COMEDY,2706. penetrate,3031,TRAGEDY
2707. Max,1800,COMEDY,2707. army,3786,TRAGEDY
2708. drives,3556,COMEDY,2708. forgiveness,3688,COMEDY
2709. payments,3077,TRAGEDY,2709. reputation,1317,TRAGEDY
2710. did,130,COMEDY,2710. strain,3611,TRAGEDY
2711. ar,790,COMEDY,2711. seen,358,COMEDY
2712. abandoned,4101,TRAGEDY,2712. beings,2496,COMEDY
2713. lights,1590,COMEDY,2713. park,948,COMEDY
2714. cosmos,4981,COMEDY,2714. videos,887,COMEDY
2715. addition,459,COMEDY,2715. programming,1055,COMEDY
2716. information,22,COMEDY,2716. shadow,3461,TRAGEDY
2717. emotion,2779,TRAGEDY,2717. issues,91,TRAGEDY
2718. menu,1578,COMEDY,2718. linked,2241,COMEDY
2719. Understanding,2471,COMEDY,2719. compositions,2195,COMEDY
2720. decline,1809,TRAGEDY,2720. gathered,3211,COMEDY
2721. fiction,2509,COMEDY,2721. references,2570,COMEDY
2722. increase,171,COMEDY,2722. carry,2341,TRAGEDY
2723. dog,999,COMEDY,2723. quarter,4976,COMEDY
2724. universe,1064,COMEDY,2724. success,220,COMEDY
2725. risk,264,TRAGEDY,2725. driven,2654,TRAGEDY
2726. n,2898,COMEDY,2726. affecting,2101,TRAGEDY
2727. ensuring,451,COMEDY,2727. hosting,3290,COMEDY
2728. testing,689,TRAGEDY,2728. sunlight,1662,COMEDY
2729. authenticity,3091,COMEDY,2729. appearance,1025,COMEDY
2730. Water,2109,TRAGEDY,2730. animation,2074,COMEDY
2731. television,2743,COMEDY,2731. make,23,COMEDY
2732. incorporate,1012,COMEDY,2732. exercises,708,COMEDY
2733. solace,3809,TRAGEDY,2733. Mode,2372,COMEDY
2734. contents,3532,COMEDY,2734. David,1262,COMEDY
2735. token,3473,COMEDY,2735. weather,762,TRAGEDY
2736. joy,1105,COMEDY,2736. think,201,COMEDY
2737. preserving,2066,TRAGEDY,2737. grab,3721,COMEDY
2738. requiring,3645,TRAGEDY,2738. classes,1062,COMEDY
2739. rooms,2942,COMEDY,2739. balancing,3501,COMEDY
2740. Tom,1909,COMEDY,2740. Developing,3763,COMEDY
2741. removing,2922,TRAGEDY,2741. Being,3041,COMEDY
2742. offer,338,COMEDY,2742. industry,81,TRAGEDY
2743. selling,2393,COMEDY,2743. banks,3397,TRAGEDY
2744. enters,3222,COMEDY,2744. carbon,483,TRAGEDY
2745. create,32,COMEDY,2745. paths,2477,TRAGEDY
2746. wellness,2599,COMEDY,2746. quinoa,4969,COMEDY
2747. container,1994,COMEDY,2747. Just,3976,COMEDY
2748. capacity,1285,COMEDY,2748. Catholic,4488,TRAGEDY
2749. attire,4086,COMEDY,2749. Body,3678,TRAGEDY
2750. grocery,4235,COMEDY,2750. loop,1623,COMEDY
2751. stability,1312,TRAGEDY,2751. mindset,2458,COMEDY
2752. chosen,1971,TRAGEDY,2752. generated,1621,COMEDY
2753. decor,2584,COMEDY,2753. empowering,4835,COMEDY
2754. enthusiasts,3560,COMEDY,2754. creating,111,COMEDY
2755. tried,1007,TRAGEDY,2755. differentiate,4252,COMEDY
2756. species,397,TRAGEDY,2756. Jason,2753,COMEDY
2757. keeps,2910,TRAGEDY,2757. accepting,4175,COMEDY
2758. track,430,COMEDY,2758. followed,1359,TRAGEDY
2759. AIM,4565,COMEDY,2759. plan,233,COMEDY
2760. people,29,COMEDY,2760. officer,3908,TRAGEDY
2761. error,555,COMEDY,2761. paintings,3040,COMEDY
2762. fuels,2198,TRAGEDY,2762. focused,528,TRAGEDY
2763. lead,119,TRAGEDY,2763. body,90,TRAGEDY
2764. oneself,3990,TRAGEDY,2764. brings,1719,COMEDY
2765. frameworks,2559,COMEDY,2765. mentioned,713,COMEDY
2766. roles,920,COMEDY,2766. achieving,1199,COMEDY
2767. lifetime,4872,TRAGEDY,2767. mansion,4997,COMEDY
2768. election,3340,COMEDY,2768. units,2154,TRAGEDY
2769. Work,3273,TRAGEDY,2769. exhibit,3891,COMEDY
2770. Tell,4654,COMEDY,2770. ar,790,COMEDY
2771. zone,3594,COMEDY,2771. gratitude,1487,COMEDY
2772. painted,4860,COMEDY,2772. stock,1826,TRAGEDY
2773. departments,4080,COMEDY,2773. lighting,1290,COMEDY
2774. Revolution,2553,TRAGEDY,2774. used,26,TRAGEDY
2775. helping,873,COMEDY,2775. DNA,2776,TRAGEDY
2776. mechanism,3106,COMEDY,2776. Providing,3234,COMEDY
2777. Jewelry,4377,COMEDY,2777. arrangements,3748,COMEDY
2778. j,1655,COMEDY,2778. It,9,COMEDY
2779. sliced,3736,TRAGEDY,2779. employment,1599,TRAGEDY
2780. demanding,4681,TRAGEDY,2780. android,3629,COMEDY
2781. divine,3998,TRAGEDY,2781. performing,2131,COMEDY
2782. towards,241,COMEDY,2782. caught,1514,TRAGEDY
2783. understood,3757,COMEDY,2783. rules,880,TRAGEDY
2784. danger,2097,TRAGEDY,2784. earth,2133,TRAGEDY
2785. values,181,TRAGEDY,2785. dough,2968,COMEDY
2786. industry,81,TRAGEDY,2786. Control,3185,TRAGEDY
2787. Function,4725,COMEDY,2787. boost,1700,COMEDY
2788. Sam,2358,COMEDY,2788. length,1014,TRAGEDY
2789. strengthen,2811,TRAGEDY,2789. stroke,4239,TRAGEDY
2790. citizens,1526,TRAGEDY,2790. folder,3997,COMEDY
2791. priority,2503,COMEDY,2791. sex,1889,COMEDY
2792. towering,3543,TRAGEDY,2792. China,834,TRAGEDY
2793. Alice,2620,COMEDY,2793. involving,2145,TRAGEDY
2794. credits,4524,COMEDY,2794. treasure,4056,COMEDY
2795. ride,2449,COMEDY,2795. plot,1416,TRAGEDY
2796. conversation,726,COMEDY,2796. acceptance,2121,COMEDY
2797. cooked,2542,COMEDY,2797. division,3481,TRAGEDY
2798. narratives,3962,TRAGEDY,2798. substances,4181,TRAGEDY
2799. moisture,3068,COMEDY,2799. ending,2987,TRAGEDY
2800. Liam,1762,COMEDY,2800. investment,584,COMEDY
2801. reminiscent,1585,TRAGEDY,2801. feeding,4868,COMEDY
2802. inference,3030,TRAGEDY,2802. succeed,2617,COMEDY
2803. adults,1985,COMEDY,2803. villains,4811,TRAGEDY
2804. gods,2026,TRAGEDY,2804. Plan,2113,COMEDY
2805. account,625,COMEDY,2805. reflect,1423,TRAGEDY
2806. offering,647,TRAGEDY,2806. definition,3904,COMEDY
2807. policies,184,TRAGEDY,2807. ones,652,COMEDY
2808. ball,1879,COMEDY,2808. hidden,3102,TRAGEDY
2809. app,310,COMEDY,2809. philosophy,2544,TRAGEDY
2810. helped,380,COMEDY,2810. overcoming,3760,COMEDY
2811. hole,4262,COMEDY,2811. combines,3193,COMEDY
2812. pages,1456,TRAGEDY,2812. ruled,4585,TRAGEDY
2813. song,932,COMEDY,2813. electricity,1556,COMEDY
2814. Trail,3967,TRAGEDY,2814. generate,443,COMEDY
2815. park,948,COMEDY,2815. pollutants,3491,TRAGEDY
2816. OF,2802,COMEDY,2816. allow,717,COMEDY
2817. columns,3024,TRAGEDY,2817. died,3953,TRAGEDY
2818. take,53,COMEDY,2818. imagine,2336,COMEDY
2819. jazz,2561,COMEDY,2819. intentions,3578,TRAGEDY
2820. beach,1598,COMEDY,2820. known,144,COMEDY
2821. loading,4431,COMEDY,2821. oversight,4850,COMEDY
2822. waters,2912,TRAGEDY,2822. Power,1650,TRAGEDY
2823. taught,2319,COMEDY,2823. breaches,4424,TRAGEDY
2824. scenario,1498,COMEDY,2824. breath,908,COMEDY
2825. Nikon,4588,COMEDY,2825. w,3926,COMEDY
